true_label,pred_label
acinar,3
endothelial,5
endothelial,5
alpha,1
beta,0
beta,0
gamma,1
beta,0
alpha,1
beta,0
beta,0
beta,0
beta,0
beta,0
delta,4
beta,0
quiescent_stellate,2
activated_stellate,2
beta,0
alpha,1
beta,0
gamma,1
quiescent_stellate,2
beta,0
alpha,1
quiescent_stellate,2
endothelial,5
beta,0
ductal,3
endothelial,5
ductal,3
acinar,3
alpha,1
delta,4
beta,0
macrophage,2
ductal,0
endothelial,5
endothelial,5
gamma,1
endothelial,5
endothelial,5
beta,0
beta,0
gamma,1
beta,1
mast,2
beta,0
endothelial,5
gamma,1
quiescent_stellate,2
alpha,1
beta,0
alpha,1
acinar,3
ductal,3
beta,0
beta,0
ductal,3
beta,0
beta,0
ductal,3
acinar,3
endothelial,5
beta,0
beta,0
beta,0
ductal,3
activated_stellate,2
beta,0
quiescent_stellate,2
acinar,3
gamma,1
quiescent_stellate,2
endothelial,5
endothelial,5
alpha,1
quiescent_stellate,2
beta,0
acinar,3
beta,0
endothelial,5
endothelial,5
beta,0
acinar,3
delta,4
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
gamma,1
ductal,3
beta,0
gamma,4
beta,0
delta,4
beta,0
beta,0
gamma,0
quiescent_stellate,2
delta,4
beta,0
delta,0
quiescent_stellate,2
delta,4
beta,0
alpha,1
delta,0
alpha,1
quiescent_stellate,2
quiescent_stellate,2
beta,0
endothelial,5
endothelial,5
activated_stellate,2
beta,0
alpha,1
delta,4
beta,0
endothelial,5
alpha,1
quiescent_stellate,2
beta,0
endothelial,5
activated_stellate,2
gamma,1
beta,0
quiescent_stellate,2
beta,0
endothelial,5
gamma,0
beta,0
beta,0
alpha,1
endothelial,5
gamma,1
beta,0
beta,0
beta,0
beta,0
endothelial,5
mast,2
beta,0
beta,0
endothelial,5
beta,0
endothelial,5
beta,0
endothelial,5
beta,0
quiescent_stellate,2
endothelial,5
endothelial,5
beta,0
endothelial,5
quiescent_stellate,2
beta,0
alpha,1
ductal,0
endothelial,5
beta,0
beta,0
endothelial,5
beta,0
beta,0
beta,0
endothelial,5
macrophage,2
endothelial,5
ductal,3
beta,0
ductal,3
endothelial,5
quiescent_stellate,2
beta,0
endothelial,5
endothelial,5
beta,0
endothelial,5
endothelial,5
alpha,1
ductal,3
beta,0
delta,3
delta,4
delta,4
acinar,3
acinar,3
acinar,3
acinar,3
delta,4
acinar,3
ductal,3
alpha,1
delta,4
delta,4
delta,4
delta,4
acinar,3
beta,0
acinar,3
endothelial,5
delta,4
beta,0
delta,4
alpha,1
ductal,3
delta,4
delta,4
beta,0
delta,4
beta,0
beta,0
delta,4
gamma,1
beta,0
delta,4
beta,0
delta,4
beta,0
alpha,1
beta,0
delta,4
delta,4
beta,0
delta,4
delta,4
ductal,3
beta,0
delta,4
delta,4
alpha,1
beta,0
alpha,1
alpha,1
beta,0
acinar,3
beta,0
beta,0
beta,0
delta,4
activated_stellate,2
beta,0
beta,0
beta,0
delta,4
beta,0
alpha,1
ductal,3
acinar,3
delta,4
beta,0
beta,0
beta,0
acinar,3
beta,0
delta,4
beta,0
beta,0
beta,0
delta,4
delta,4
beta,0
delta,4
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
acinar,3
beta,0
beta,0
beta,0
alpha,1
endothelial,5
beta,0
delta,4
beta,0
delta,4
beta,0
delta,4
beta,0
beta,0
delta,4
ductal,3
beta,0
beta,0
ductal,3
beta,0
beta,0
beta,0
beta,0
acinar,3
acinar,3
beta,0
alpha,1
beta,0
delta,4
beta,0
beta,0
beta,0
beta,0
beta,0
ductal,3
beta,0
acinar,3
beta,0
acinar,3
beta,0
ductal,3
beta,0
activated_stellate,2
alpha,1
beta,0
delta,4
delta,4
beta,0
beta,0
beta,0
beta,0
acinar,3
beta,0
beta,0
beta,0
delta,4
beta,0
ductal,3
beta,0
beta,0
ductal,3
macrophage,2
beta,0
delta,4
beta,0
beta,0
beta,0
beta,0
beta,0
activated_stellate,2
beta,0
beta,0
ductal,3
beta,0
beta,0
beta,0
beta,0
beta,0
delta,4
beta,0
beta,0
delta,4
beta,0
beta,0
beta,0
beta,0
alpha,1
beta,0
beta,0
acinar,3
beta,0
beta,0
beta,0
beta,0
ductal,3
beta,0
delta,4
beta,0
alpha,1
beta,0
beta,0
beta,0
beta,0
delta,4
beta,0
beta,0
delta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
gamma,1
beta,0
beta,0
delta,0
ductal,3
beta,0
beta,0
beta,0
delta,4
beta,0
ductal,3
beta,0
beta,0
beta,0
beta,0
ductal,3
activated_stellate,2
beta,0
alpha,1
beta,0
beta,0
activated_stellate,2
alpha,1
acinar,3
gamma,1
beta,0
beta,0
beta,0
delta,4
alpha,1
endothelial,5
gamma,1
beta,0
alpha,1
beta,0
beta,0
beta,0
beta,4
beta,0
endothelial,5
beta,0
delta,4
beta,0
alpha,1
beta,0
alpha,1
alpha,1
delta,0
alpha,1
ductal,3
beta,0
alpha,1
endothelial,5
beta,0
beta,0
ductal,3
delta,4
beta,0
beta,0
alpha,1
alpha,1
delta,4
gamma,1
alpha,1
beta,0
alpha,1
ductal,3
beta,0
gamma,1
beta,0
schwann,2
delta,4
beta,0
alpha,1
delta,4
beta,0
acinar,3
beta,0
beta,0
beta,0
beta,0
beta,0
alpha,1
beta,0
beta,0
macrophage,2
gamma,1
beta,0
beta,0
alpha,1
acinar,3
endothelial,5
alpha,1
beta,0
alpha,1
alpha,1
alpha,1
beta,0
beta,0
alpha,1
alpha,1
macrophage,2
alpha,1
beta,0
beta,0
beta,0
alpha,1
activated_stellate,2
delta,4
alpha,1
alpha,1
endothelial,5
beta,0
delta,4
beta,0
beta,0
beta,0
ductal,3
beta,0
ductal,3
beta,0
beta,0
activated_stellate,2
beta,0
ductal,3
beta,0
beta,0
delta,4
ductal,3
alpha,1
ductal,3
beta,0
gamma,1
ductal,3
beta,0
gamma,0
delta,4
alpha,1
gamma,1
alpha,1
beta,0
macrophage,2
beta,0
beta,0
quiescent_stellate,2
delta,4
beta,0
alpha,1
beta,0
alpha,1
beta,0
beta,0
gamma,1
alpha,1
beta,0
beta,0
beta,0
beta,0
macrophage,2
beta,0
delta,4
beta,0
gamma,0
epsilon,4
delta,4
alpha,1
beta,0
beta,0
delta,4
alpha,1
endothelial,5
beta,0
activated_stellate,2
acinar,3
beta,0
acinar,3
alpha,1
gamma,1
macrophage,2
beta,0
beta,0
acinar,3
beta,0
beta,0
alpha,1
delta,4
beta,0
ductal,3
alpha,1
beta,0
delta,4
beta,0
beta,0
acinar,3
beta,0
beta,0
beta,0
alpha,1
alpha,1
alpha,1
ductal,3
alpha,1
acinar,3
acinar,3
beta,0
delta,4
quiescent_stellate,2
alpha,1
delta,4
beta,0
ductal,3
beta,0
beta,0
beta,0
beta,0
quiescent_stellate,2
endothelial,5
acinar,3
activated_stellate,2
delta,4
beta,0
alpha,1
endothelial,5
endothelial,5
alpha,1
beta,0
gamma,1
beta,0
ductal,3
activated_stellate,2
alpha,1
beta,0
beta,0
alpha,1
acinar,3
quiescent_stellate,2
beta,0
alpha,1
beta,0
ductal,3
beta,0
delta,4
beta,0
beta,0
beta,0
beta,0
quiescent_stellate,2
beta,0
beta,0
schwann,2
endothelial,5
beta,0
beta,0
ductal,3
gamma,1
alpha,1
gamma,1
alpha,1
quiescent_stellate,2
endothelial,5
quiescent_stellate,2
delta,4
beta,0
ductal,3
endothelial,5
beta,2
delta,4
activated_stellate,2
endothelial,5
acinar,3
endothelial,5
delta,4
gamma,0
activated_stellate,2
endothelial,5
beta,0
ductal,3
beta,0
beta,0
alpha,1
alpha,1
beta,0
ductal,3
beta,0
alpha,1
endothelial,5
endothelial,5
beta,0
endothelial,5
endothelial,5
alpha,1
quiescent_stellate,2
ductal,3
beta,0
quiescent_stellate,2
epsilon,4
delta,4
macrophage,2
gamma,1
ductal,3
alpha,1
beta,0
alpha,1
endothelial,5
beta,0
gamma,1
beta,0
beta,0
quiescent_stellate,2
alpha,1
beta,0
gamma,1
alpha,1
alpha,1
beta,0
endothelial,5
beta,0
quiescent_stellate,2
endothelial,5
beta,0
beta,0
beta,0
beta,0
ductal,3
beta,0
alpha,1
quiescent_stellate,2
beta,0
endothelial,5
beta,0
ductal,3
ductal,3
beta,0
activated_stellate,2
beta,0
ductal,3
beta,0
endothelial,5
beta,0
beta,0
acinar,3
alpha,1
schwann,2
beta,0
beta,0
quiescent_stellate,2
beta,0
gamma,1
endothelial,5
beta,0
mast,2
beta,0
gamma,1
quiescent_stellate,2
beta,0
beta,0
beta,0
endothelial,5
beta,0
alpha,1
quiescent_stellate,2
activated_stellate,2
beta,0
alpha,1
endothelial,5
quiescent_stellate,2
endothelial,5
endothelial,5
endothelial,5
endothelial,5
ductal,3
beta,0
ductal,3
quiescent_stellate,2
beta,0
endothelial,5
endothelial,5
alpha,1
quiescent_stellate,2
alpha,1
acinar,3
gamma,1
endothelial,5
beta,0
quiescent_stellate,2
activated_stellate,2
beta,0
beta,0
endothelial,5
alpha,1
quiescent_stellate,2
quiescent_stellate,2
quiescent_stellate,2
quiescent_stellate,2
endothelial,5
beta,0
quiescent_stellate,2
beta,0
quiescent_stellate,2
quiescent_stellate,2
beta,0
beta,0
beta,0
beta,0
beta,0
endothelial,5
alpha,1
beta,0
endothelial,5
endothelial,5
activated_stellate,2
alpha,1
beta,0
beta,0
acinar,3
quiescent_stellate,2
endothelial,5
endothelial,5
endothelial,5
delta,0
endothelial,5
alpha,1
beta,0
quiescent_stellate,2
endothelial,5
quiescent_stellate,2
alpha,1
quiescent_stellate,2
acinar,3
acinar,3
delta,4
acinar,3
activated_stellate,2
acinar,3
acinar,3
delta,4
delta,4
delta,4
acinar,3
beta,0
activated_stellate,2
delta,4
delta,4
delta,4
delta,4
beta,0
delta,4
acinar,3
activated_stellate,2
activated_stellate,2
delta,4
beta,0
acinar,3
delta,4
beta,0
delta,4
ductal,3
acinar,3
acinar,3
delta,4
beta,0
beta,0
beta,0
delta,4
beta,0
beta,0
beta,0
delta,4
delta,4
delta,4
acinar,3
ductal,3
delta,4
activated_stellate,2
beta,0
activated_stellate,4
alpha,1
delta,4
beta,0
beta,0
beta,0
acinar,3
delta,4
ductal,3
macrophage,2
delta,4
beta,0
beta,0
delta,4
delta,4
beta,0
delta,4
beta,0
delta,4
acinar,3
delta,4
beta,0
acinar,3
beta,0
beta,0
ductal,3
delta,4
delta,4
beta,0
delta,4
delta,4
beta,0
alpha,1
beta,0
acinar,3
alpha,1
alpha,1
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
delta,4
beta,0
beta,0
delta,4
beta,0
beta,0
beta,0
alpha,1
delta,4
alpha,1
beta,0
delta,4
beta,0
activated_stellate,2
beta,0
beta,0
delta,4
delta,4
ductal,3
acinar,3
acinar,3
delta,4
ductal,3
delta,4
beta,0
ductal,3
beta,0
beta,0
beta,0
beta,0
alpha,1
beta,0
beta,0
beta,0
beta,0
beta,0
alpha,1
acinar,3
beta,0
beta,0
beta,0
beta,0
delta,4
beta,0
beta,0
beta,0
activated_stellate,2
beta,0
delta,4
beta,0
acinar,3
beta,0
beta,0
activated_stellate,2
alpha,1
beta,0
beta,0
quiescent_stellate,3
activated_stellate,2
acinar,3
beta,0
alpha,1
delta,4
acinar,3
beta,0
beta,0
beta,4
beta,0
ductal,3
beta,0
acinar,3
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
alpha,1
acinar,3
beta,0
beta,0
alpha,1
beta,0
beta,0
gamma,1
delta,4
macrophage,2
alpha,1
delta,4
beta,0
ductal,3
ductal,3
alpha,1
beta,0
beta,0
acinar,3
endothelial,5
alpha,1
gamma,1
beta,0
quiescent_stellate,2
beta,0
delta,4
beta,0
ductal,3
beta,0
alpha,1
beta,0
delta,4
beta,0
alpha,1
quiescent_stellate,2
ductal,3
delta,4
beta,0
beta,0
delta,4
alpha,1
beta,0
beta,0
delta,4
beta,0
beta,0
delta,4
ductal,3
ductal,3
beta,0
beta,0
beta,0
beta,0
endothelial,5
beta,0
beta,0
alpha,1
beta,0
beta,0
alpha,1
beta,0
acinar,3
delta,4
beta,0
beta,0
ductal,3
ductal,3
beta,0
alpha,1
beta,0
beta,0
ductal,3
alpha,1
activated_stellate,2
beta,0
alpha,1
ductal,3
delta,4
alpha,1
gamma,1
beta,0
activated_stellate,2
ductal,3
beta,1
beta,0
activated_stellate,2
beta,0
delta,4
activated_stellate,2
beta,0
gamma,1
beta,0
beta,0
beta,0
delta,4
beta,0
beta,0
alpha,1
beta,0
alpha,1
epsilon,4
activated_stellate,2
beta,0
alpha,1
ductal,3
alpha,1
beta,0
beta,0
delta,4
ductal,3
beta,0
alpha,1
delta,4
beta,0
beta,0
beta,0
beta,0
beta,0
activated_stellate,2
alpha,1
beta,0
ductal,3
delta,4
alpha,1
alpha,1
beta,0
beta,0
beta,0
delta,4
alpha,1
beta,0
beta,0
beta,0
beta,0
beta,0
delta,4
beta,0
beta,0
beta,0
alpha,1
beta,0
gamma,1
beta,0
activated_stellate,2
beta,0
alpha,1
alpha,1
beta,0
beta,0
delta,4
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
quiescent_stellate,2
ductal,3
ductal,3
delta,4
alpha,1
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
gamma,1
beta,0
beta,0
gamma,4
alpha,1
beta,0
alpha,1
alpha,1
beta,0
delta,4
beta,0
beta,0
beta,0
beta,0
endothelial,5
beta,0
quiescent_stellate,2
beta,0
beta,0
alpha,1
ductal,3
beta,0
beta,0
gamma,1
alpha,1
gamma,1
beta,0
beta,0
alpha,1
alpha,1
ductal,0
beta,0
alpha,1
beta,0
delta,4
ductal,3
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
ductal,3
beta,0
alpha,1
beta,0
beta,0
alpha,1
acinar,3
acinar,3
beta,0
beta,0
beta,0
alpha,1
alpha,1
alpha,1
alpha,1
beta,0
alpha,1
beta,0
alpha,1
beta,0
beta,0
beta,0
alpha,1
delta,4
alpha,1
beta,0
beta,0
beta,0
alpha,1
gamma,1
acinar,3
beta,0
ductal,3
delta,4
beta,0
ductal,3
gamma,1
beta,0
quiescent_stellate,2
ductal,3
delta,4
gamma,1
beta,0
beta,0
beta,0
gamma,1
ductal,3
alpha,1
acinar,3
ductal,3
endothelial,5
alpha,1
endothelial,5
beta,0
beta,0
beta,0
beta,0
alpha,1
beta,0
ductal,3
ductal,3
beta,0
beta,0
gamma,1
beta,0
quiescent_stellate,2
ductal,3
beta,0
acinar,3
ductal,3
endothelial,5
acinar,3
gamma,1
beta,0
beta,0
quiescent_stellate,2
beta,0
beta,0
epsilon,4
beta,0
alpha,1
alpha,1
delta,4
beta,0
epsilon,4
beta,0
alpha,1
beta,0
beta,0
gamma,1
acinar,3
beta,0
alpha,1
beta,0
alpha,1
ductal,3
alpha,1
beta,0
beta,0
gamma,1
beta,0
beta,0
delta,4
delta,4
delta,4
quiescent_stellate,2
beta,0
beta,0
alpha,1
beta,0
alpha,1
alpha,1
beta,0
beta,0
beta,0
alpha,1
beta,0
beta,0
quiescent_stellate,2
alpha,1
endothelial,5
gamma,1
beta,0
beta,0
quiescent_stellate,2
beta,0
alpha,1
delta,4
beta,0
acinar,3
beta,0
endothelial,5
endothelial,5
beta,0
beta,0
alpha,1
beta,0
mast,2
beta,0
alpha,1
endothelial,5
beta,0
beta,0
beta,0
endothelial,5
alpha,1
beta,0
beta,0
beta,0
beta,0
alpha,1
mast,2
beta,0
epsilon,4
endothelial,5
quiescent_stellate,2
alpha,1
alpha,1
beta,4
beta,0
acinar,3
delta,0
acinar,3
beta,0
beta,0
endothelial,5
beta,0
macrophage,2
acinar,3
quiescent_stellate,2
beta,0
beta,0
beta,0
endothelial,5
beta,0
beta,0
ductal,3
beta,0
beta,0
quiescent_stellate,2
beta,0
acinar,3
beta,0
delta,4
beta,0
beta,0
beta,0
beta,0
quiescent_stellate,2
alpha,1
endothelial,5
beta,0
delta,0
gamma,1
beta,0
quiescent_stellate,2
endothelial,5
alpha,1
beta,0
ductal,3
beta,0
beta,0
beta,0
quiescent_stellate,2
beta,0
epsilon,4
beta,0
beta,0
alpha,1
beta,0
endothelial,5
endothelial,5
quiescent_stellate,2
beta,0
beta,0
epsilon,4
quiescent_stellate,2
beta,0
mast,2
ductal,3
alpha,1
acinar,3
acinar,3
endothelial,5
ductal,3
endothelial,5
alpha,1
delta,4
beta,0
beta,0
beta,0
ductal,3
quiescent_stellate,2
beta,0
macrophage,2
delta,4
endothelial,5
alpha,1
beta,0
endothelial,5
beta,0
beta,0
endothelial,5
delta,4
acinar,3
acinar,3
endothelial,5
beta,0
endothelial,5
acinar,3
beta,0
delta,4
quiescent_stellate,2
quiescent_stellate,2
beta,0
beta,0
quiescent_stellate,2
alpha,1
quiescent_stellate,2
quiescent_stellate,2
beta,0
quiescent_stellate,2
schwann,2
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
endothelial,5
ductal,3
beta,0
beta,0
beta,0
beta,0
alpha,1
quiescent_stellate,2
quiescent_stellate,2
beta,0
beta,0
alpha,1
ductal,3
quiescent_stellate,2
beta,0
endothelial,5
delta,0
beta,0
beta,0
alpha,1
beta,0
beta,0
endothelial,5
beta,0
endothelial,5
alpha,1
quiescent_stellate,2
endothelial,5
alpha,1
alpha,1
ductal,3
quiescent_stellate,2
endothelial,5
beta,0
gamma,1
epsilon,4
activated_stellate,2
alpha,1
activated_stellate,2
beta,0
beta,0
mast,2
activated_stellate,2
epsilon,4
quiescent_stellate,2
endothelial,5
gamma,1
beta,0
quiescent_stellate,2
quiescent_stellate,2
alpha,1
beta,0
beta,0
beta,0
beta,0
t_cell,0
beta,0
beta,0
beta,0
alpha,1
beta,0
endothelial,5
endothelial,5
mast,2
beta,0
quiescent_stellate,2
beta,0
beta,0
beta,0
beta,0
beta,0
endothelial,5
t_cell,0
ductal,3
quiescent_stellate,2
beta,0
beta,0
quiescent_stellate,2
quiescent_stellate,2
quiescent_stellate,2
beta,0
beta,0
alpha,1
beta,0
beta,0
beta,0
alpha,1
endothelial,5
beta,0
endothelial,5
beta,0
quiescent_stellate,2
